mouthOfWatercourse,mouthRegion
org-org,archivesAt
per-org,practiceAt
loc-loc,crosses
city,twinTown
loc-loc,replaces
student,notableStudent
per-loc,officeholder
org-org,legislativeBody
per-loc,awardedAt
loc-per,bishop
secretary,firstSecretary
associatedWith,institution
educatedAt,highSchool
per-org,team
per-per,partner
per-per,influencedBy
rel,per
loc-loc,exclaveOf
loc-loc,cultureOf
engineer,civilEngineer
routeLocation,routeEnd
associatedWith,family
org-org,rival
org-per,namedAfter
per-per,sponsoredBy
loc-loc,hasPart
org-org,company
per-org,draftedBy
loc-loc,city
loc-loc,diplomaticRelation
per-per,officeholder
rel,org
associatedWith,band
org-per,coach
teacher,guru
officeholder,inOfficeMonarch
memberOf,memberOfStateDelegate
org-org,authority
loc-loc,locatedOnTerrainFeature
family,house
sourceOfWatercourse,sourceMountain
per-loc,significantProject
per-loc,imprisonedAt
loc-loc,sourceOfWatercourse
loc-loc,constellation
org-per,mostCaps
routeLocation,routeStart
per-loc,beatifiedPlace
per-loc,country
per-org,ownerOf
commander,secondCommander
ground,homeArena
officeholder,inOfficeVicePrimeMinister
org-per,producer
officeholder,commander
org-org,participant
contains,containsSettlement
org-org,localAuthority
loc-loc,connectingLine
org-per,director
per-org,founderOf
officeholder,inOfficePrimeMinister
per-org,archivesAt
per-org,managerOf
team,collegeTeam
org-org,designatedAsTerroristBy
loc-org,operator
loc-org,surveyor
officeholder,deputy
loc-loc,lakeOutflow
per-org,militaryBranch
associatedWith,federation
per-per,successor
officeholder,chiefJudge
org-per,architect
relative,sibling
chief,chiefExecutive
per-loc,exhibitionHistory
per-per,opponent
per-loc,placeOfBirth
org-loc,appliesToJurisdiction
associatedWith,musicalArtist
loc-loc,replacedBy
manager,teamManager
educatedAt,college
org-org,manufacturer
org-per,people
org-org,producer
org-per,performer
trainingLocation,currentTrainingLocation
per-per,beatifiedBy
per-per,predecessor
org-per,member
operator,trainOperator
publishingLocation,publishingCity
org-org,militaryBranch
per-per,trainer
loc-loc,continent
org-per,secretary
loc-org,managedBy
routeLocation,routeJunction
trainingLocation,formerTrainingLocation
per-loc,majorShrine
city,largestCity
per-loc,canonizedPlace
org-org,investor
loc-org,maintainedBy
per-per,consecrator
per-per,createdCardinalBy
org-loc,country
mountain,lowestMountain
loc-loc,separatedFrom
team,worldsTeam
loc-loc,mountain
patron,patronSaint
per-per,servedAlongside
partner,domesticPartner
company,parentCompany
area,principalArea
trainingLocation,gym
loc-loc,highestPlace
loc-loc,state
institution,professorshipAt
per-loc,permanentResidentOf
loc-per,chairperson
loc-loc,island
ground,homeVenue
officeholder,principal
per-loc,notableWork
officeholder,inOfficeLieutenant
per-loc,locatedAt
loc-loc,capitalOf
subsidiary,sisterStation
per-org,isPartOf
state,federalState
region,subregion
per-loc,trainingLocation
per-org,religion
loc-loc,lakeInflow
org-loc,administrativeDivision
per-loc,religiousInstitution
org-org,broadcastNetwork
org-loc,headquarter
org-org,executiveBody
org-per,creator
officeholder,inOfficeVicePresident
associatedWith,league
loc-loc,drainageBasin
loc-org,owner
district,electoralDistrict
loc-loc,primaryDestinations
club,parentClub
member,formerMember
owner,previousOwner
org-org,developer
loc-per,fundedBy
relative,child
org,org-per
head,finalHead
educatedAt,university
municipality,municipalAssociations
per-loc,battleFoughtAt
loc-loc,municipality
org-loc,street
per-loc,ancestralHome
per-loc,restaurant
parent,father
per-org,associatedWith
loc-per,dedicatedTo
org-org,agency
loc-loc,appliesToJurisdiction
loc-loc,contains
country,homeCountry
placeServedByTransportHub,cityServed
administrativeDivision,district
org-per,chairperson
org-org,allegiance
engineer,servicesEngineer
per-loc,monuments
org-loc,ancestralHome
coachOf,formerCoachOf
country,nationality
org,org-org
memberOf,memberOfStateAssembly
country,countryForSport
loc-loc,deepestPoint
loc-loc,startPoint
sourceOfWatercourse,sourceCountry
org-loc,broadcastArea
per-per,studentOf
loc-org,administrator
legislativeBody,house
affiliation,europeanAffiliation
agency,childAgency
loc-loc,isPartOf
org-per,alumni
loc-org,founder
per-org,almaMater
org-loc,publishingLocation
per-per,namedAfter
loc-loc,minorPlanetGroup
per-org,memberOf
parent,mother
per-org,trainedAt
per-loc,bodyDiscoveredPlcae
team,sportsTeam
org-per,musicalConductor
loc-per,chef
org-org,sponsor
affiliation,internationalAffiliation
org-org,replaces
loc-loc,locatedInAdministrativeUnit
loc-per,archaeologist
team,currentTeam
org-per,sponsor
per-loc,placeOfDetention
officeholder,mayor
per-org,sponsoredBy
officeholder,headOfState
team,universityTeam
company,owningCompany
per-per,advisor
loc-loc,locatedNearbodyOfWater
per-loc,hometown
loc-loc,siteOfAstronomicalDiscovery
loc-per,landlord
loc-loc,carries
org-org,associatedWith
org-per,superintendent
team,formerTeam
loc-per,architect
per-org,employer
club,youthClub
legislativeBody,house2
sourceOfWatercourse,sourceRegion
org-loc,battleFoughtAt
headquarter,headquartersLocation
administrativeDivision,frazioni
per-org,family
club,currentClub
administrativeDivision,area
editor,photoEditor
bishop,archBishop
advisor,academicAdvisor
commander,commanderInChief
loc-per,designer
per,per-loc
manager,generalManager
per-org,affiliation
per-org,officeholder
org-per,student
country,formerCountry
religion,religiousOrder
per-per,replacedBy
coach,headCoach
org-org,mostTitles
loc-per,representative
club,coachedClub
loc-per,founder
legislativeBody,house1
org-loc,city
org-loc,targetAirport
loc-loc,parentAstronomicalBody
org-org,influencedBy
editor,managingEditor
legislativeBody,lowerHouse
publishingLocation,publishingCountry
